time,BTC,ETH,SOL,XRP,BNB,USDT,ADA,DOT,LUNA,DOGE,price,logPrice,return,signal,residual,residualFeature,equity,share,cPlus,equityWithoutFee,cMinus,logEquity,portReturn,downsideReturn,drawdown
2021-09-02 14:00:00,49543.53,3764.14,115.83,1.251,482.52,1.0,2.943,31.68,31.9,0.2957,49543.53,10.810606956055864,-0.012213695658084944,0.0,-610.2161319679508,-1.5898560879303258,101.70033966260264,0.0020527471430195356,0.0,101.70033966260264,-1.4898560879303258,4.6220306428975375,-0.012213695658083168,0.012213695658083168,-1.2497535156131647
2021-09-02 15:00:00,49576.4,3757.72,121.86,1.25,482.57,1.001,2.929,31.64,31.77,0.2958,49576.4,10.811270193029598,0.0006632369737342714,0.0,30.645201329323754,0.0798429562033191,101.76781346119371,0.0020527471430195356,0.0,101.76781346119371,0.0,4.62269387987127,0.000663236973732495,0.0,-1.182279717022098
2021-09-02 16:00:00,49587.13,3783.05,123.82,1.258,486.35,1.0,2.964,32.47,32.11,0.2983,49587.13,10.811486603236895,0.0002164102072974572,0.0,8.823062515999482,0.02298759229785221,101.7898394380383,0.0020527471430195356,0.0,101.7898394380383,0.0,4.622910290078568,0.00021641020729834537,0.0,-1.1602537401775095
2021-09-02 17:00:00,49534.31,3799.92,126.85,1.26,486.49,1.0,2.9819999999999998,32.33,32.56,0.2977,49534.31,10.810420839765348,-0.0010657634715478537,0.0,-54.72827379501541,-0.14258895285890744,101.68141333394401,0.0020527471430195356,0.0,101.68141333394401,-0.042588952858907445,4.6218445266070205,-0.0010657634715478537,0.0010657634715478537,-1.2686798442718015
2021-09-02 18:00:00,49377.48,3778.18,126.71,1.2570000000000001,484.67,1.0,2.9530000000000003,32.2,32.49,0.2963,49377.48,10.807249728790149,-0.003171110975198843,0.0,-158.80947584611567,-0.41376194231494323,101.35948099950427,0.0020527471430195356,0.0,101.35948099950427,-0.2711729894560358,4.618673415631822,-0.003171110975198843,0.003171110975198843,-1.5906121787115381
2021-09-02 19:00:00,49334.11,3784.97,127.25,1.2570000000000001,486.09,1.001,2.971,32.26,32.58,0.2981,49334.11,10.806371007197463,-0.0008787215926862046,0.0,-45.52239284422831,-0.1186039660523977,101.2704533559115,0.0020527471430195356,0.0,101.2704533559115,0.0,4.6177946940391355,-0.0008787215926862046,0.0008787215926862046,-1.6796398223043099
2021-09-02 20:00:00,49559.83,3808.77,127.64,1.268,486.83,1.0,2.975,32.27,32.65,0.2991,49559.83,10.810935905551561,0.004564898354098901,0.0,223.58441946414678,0.5825264718994858,101.73379944103388,0.0020527471430195356,0.36252647189948584,101.73379944103388,0.0,4.622359592393235,0.004564898354099789,0.0,-1.2162937371819282
2021-09-02 21:00:00,49837.48,3830.76,129.24,1.273,489.5,1.0,3.013,32.23,32.9,0.3004,49837.48,10.816522590385292,0.00558668483373026,0.0,275.81756827740173,0.7186146303110132,102.30374468529325,0.0020527471430195356,,102.30374468529325,0.0,4.627946277226965,0.005586684833729372,0.0,-0.6463484929225558
2021-09-02 22:00:00,49714.47,3805.95,128.52,1.278,489.44,1.0,2.984,32.42,33.55,0.2998,49714.47,10.81405131659098,-0.002471273794311557,0.0,-124.59636559952924,-0.32462316219592846,102.05123625923042,0.0020527471430195356,0.0,102.05123625923042,-0.22462316219592848,4.625475003432652,-0.002471273794312445,0.002471273794312445,-0.8988569189853877
2021-09-02 23:00:00,49280.77,3787.7,128.29,1.254,483.77,1.0,2.963,31.82,32.82,0.2947,49280.77,10.805289223085332,-0.008762093505648494,0.0,-435.5670131513616,-1.1348255663563656,101.16095982330283,0.0020527471430195356,0.0,101.16095982330283,-0.8102024041604371,4.6167129099270054,-0.008762093505646718,0.008762093505646718,-1.7891333549129769
2021-09-03 00:00:00,48596.2,3731.63,133.48,1.234,476.16,1.001,2.9219999999999997,31.28,32.29,0.29,48596.2,10.791300617531231,-0.01398860555410053,0.0,-686.9257286657885,-1.7897151426547961,99.75571071160596,0.0020527471430195356,0.0,99.75571071160596,-0.8795127384943591,4.602724304372904,-0.013988605554101419,0.013988605554101419,-3.194382466609852
2021-09-03 01:00:00,48570.41,3742.75,132.9,1.2329999999999999,477.26,1.0,2.918,31.35,31.94,0.2899,48570.41,10.79076977672891,-0.0005308408023214639,0.0,-28.808187509646814,-0.07505680347509376,99.70277036278749,0.0020527471430195356,0.0,99.70277036278749,0.0,4.602193463570583,-0.0005308408023214639,0.0005308408023214639,-3.247322815428319
2021-09-03 02:00:00,48996.6,3774.67,136.78,1.251,483.01,1.0,2.931,32.2,32.45,0.2932,48996.6,10.79950618693022,0.008736410201310107,0.0,423.4505570727051,1.10325737198781,100.57763066767097,0.0020527471430195356,0.8832573719878101,100.57763066767097,0.0,4.610929873771893,0.008736410201310107,0.0,-2.3724625105448354
2021-09-03 03:00:00,49501.68,3807.55,135.45,1.275,487.15,1.0,2.975,32.74,32.54,0.29600000000000004,49501.68,10.809761887374792,0.010255700444572469,0.0,502.88753500142775,1.3102223412020289,101.61443219466729,0.0020527471430195356,,101.61443219466729,0.0,4.621185574216466,0.010255700444573357,0.0,-1.3356609835485216
2021-09-03 04:00:00,49722.24,3810.97,135.76,1.285,488.31,1.0,2.978,33.44,32.62,0.2972,49722.24,10.814207596902664,0.0044457095278716,0.0,218.8080715215401,0.5700821829716645,102.06718610453167,0.0020527471430195356,,102.06718610453167,0.0,4.625631283744337,0.0044457095278707115,0.0,-0.8829070736841373
2021-09-03 05:00:00,49472.18,3798.09,138.72,1.27,487.16,1.0,2.957,33.3,33.08,0.2942,49472.18,10.809165770362208,-0.005041826540455929,0.0,-251.76456897331082,-0.6559469862202778,101.55387615394821,0.0020527471430195356,0.0,101.55387615394821,-0.5559469862202778,4.620589457203882,-0.005041826540455041,0.005041826540455041,-1.3962170242675995
2021-09-03 06:00:00,49412.44,3791.7,141.82,1.265,484.79,1.0,2.94,33.13,32.92,0.2934,49412.44,10.80795749333656,-0.0012082770256487407,0.0,-61.85885762053658,-0.16116696401200778,101.43124503962423,0.0020527471430195356,0.0,101.43124503962423,0.0,4.619381180178232,-0.001208277025649629,0.001208277025649629,-1.5188481385915793
